"","fips","year","county","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty"
"207",6061,2010,"Placer",1.01258652514998,NA,0.229417367308077,0.50601810733835,8,3.3,3.3,6,7
"208",6061,2011,"Placer",1.02431901184715,1.5,0.239335638550663,1.08827586206897,8.2,3.3,3.2,5.72,7.6
"209",6061,2012,"Placer",1.01331291003959,1.5,0.235373120394759,0.506201713113765,9.3,3.1,3.1,5.7,10.7
"210",6061,2013,"Placer",1,NA,0.229200737121797,2.91313246885329,7.3,2.5,5.7,5.7,9.9
"211",6061,2014,"Placer",1,1.5,0.223082108120335,1.78935833221731,8.7,2.7,2.9,5.7,11.6
"212",6061,2015,"Placer",1.15452345092469,1.5,0.239860923076923,0.281517314086449,8.7,2.7,2.9,5.805713442,9.5
"213",6061,2016,"Placer",1,1.5,0.200912780295188,0.741606391925988,10.9,3.3,3.5,5.749563018,9.7
"214",6063,2010,"Plumas",7.04126148705096,NA,0.207510704440143,2.1844882796149,2,4.7,3.3,6,17
"215",6063,2011,"Plumas",3.7019221714444,NA,0.196802171893977,5.16783923494443,5.6,3.7,3.2,6.13,19.9
"216",6063,2012,"Plumas",8.5234791934792,NA,0.273070017953321,10.2698962536023,6.8,3.2,3,6.2,22.3
"217",6063,2013,"Plumas",1.72470629248736,NA,0.261281299946723,5.5406860670194,3.1,1.4,5.3,5.3,21.9
"218",6063,2014,"Plumas",3.38803952991453,NA,0.257870331950207,17.7316856780735,NA,4.1,3.4,6.2,23.5
"219",6063,2015,"Plumas",4.43984460694698,NA,0.161416837782341,16.775906374502,NA,4.1,3.4,5.657237937,24.9
"220",6063,2016,"Plumas",3.31,NA,0.241960381237152,8.19176192209683,13.9,3.8,3.9,6.148590948,21.6
"221",6065,2010,"Riverside",1.60784912458588,1.5,2.56149465388439,8.1947787699019,17,3.7,3.7,6,16
"222",6065,2011,"Riverside",1.35498435497119,1.5,2.46369667503942,7.96706819535672,18.5,3.8,3.9,6.35,17
"223",6065,2012,"Riverside",1.29665264113261,1.5,2.5715098525151,6.38317800937552,19.2,3.8,3.9,6.5,23.4
"224",6065,2013,"Riverside",1.44204395556392,1.5,3.06340981771381,9.28997580575751,17.6,3.7,6.5,6.5,23
"225",6065,2014,"Riverside",1.83725902800836,1.5,2.74251881988424,8.2361046684603,19.5,4,4.1,6.5,24.8
"226",6065,2015,"Riverside",1.65703848546376,1.5,3.10799312633352,8.29522705058418,19.5,4,4.1,6.513148505,24.2
"227",6065,2016,"Riverside",1.80629884451533,1.5,3.22112797534435,7.03807250224551,18.1,4.2,4,6.546531295,23.5
"228",6067,2010,"Sacramento",2.22548866617439,1.5,0.601117531132631,1.41514723007819,13,3.5,4,7,18
"229",6067,2011,"Sacramento",2.34460894664111,1.5,0.709724538013214,1.93600418802509,13.5,3.5,3.9,6.82,19
"230",6067,2012,"Sacramento",3.69031365688459,1.43456086674003,0.661080991787664,0.626084343609797,13.5,3.5,3.9,6.8,23.6
"231",6067,2013,"Sacramento",1.73931770384156,1.5,0.780802381869768,0.624310426762728,12.1,3.1,6.9,6.9,24.9
"232",6067,2014,"Sacramento",1.74643021046002,1.5,0.799190221678709,0.500296814778718,13.9,3.5,3.7,6.9,26.8
